"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"14-Jan-2015","     8408.50","     8483.00","     8381.30","     8427.70","       29871862","         1277.19"
"15-Jan-2015","     8541.00","     8655.95","     8508.80","     8614.70","       31370311","         1619.76"
"16-Jan-2015","     8604.60","     8640.05","     8567.15","     8623.60","       38554511","         1347.14"
"19-Jan-2015","     8629.40","     8704.60","     8624.90","     8694.90","       23786423","         1041.05"
"20-Jan-2015","     8704.90","     8769.20","     8675.15","     8760.90","       25287270","         1221.79"
"21-Jan-2015","     8783.50","     8809.95","     8720.20","     8779.95","       44915038","         1405.10"
"22-Jan-2015","     8797.20","     8857.05","     8784.45","     8842.00","       33636057","         1495.06"
"23-Jan-2015","     8932.75","     9001.55","     8894.15","     8983.10","       37828373","         1815.04"
"27-Jan-2015","     9026.70","     9110.50","     9004.45","     9099.60","       31886427","         2109.38"
"28-Jan-2015","     9062.25","     9093.45","     8995.35","     9043.15","       46359902","         1961.76"
"29-Jan-2015","     9043.00","     9062.80","     8987.40","     9049.70","       59777173","         1888.10"
"30-Jan-2015","     9085.65","     9100.55","     8909.75","     8930.85","       41610496","         1327.08"
"02-Feb-2015","     8951.80","     9004.75","     8904.65","     8976.10","       31032764","         1359.05"
"03-Feb-2015","     9030.90","     9058.75","     8882.90","     8919.70","       36546525","         1824.89"
"04-Feb-2015","     8946.85","     8946.85","     8795.90","     8812.50","       24684303","         1244.16"
"05-Feb-2015","     8818.45","     8890.75","     8725.90","     8749.65","       28381454","         1437.40"
"06-Feb-2015","     8661.85","     8669.95","     8483.05","     8496.30","       36369930","         1660.66"
"09-Feb-2015","     8408.25","     8408.25","     8276.25","     8294.45","       47123923","         1589.21"
"10-Feb-2015","     8271.50","     8478.70","     8263.40","     8436.05","       62169228","         1952.45"
"11-Feb-2015","     8478.65","     8532.20","     8411.80","     8514.15","       41710477","         1457.13"
"12-Feb-2015","     8585.15","     8677.10","     8579.05","     8654.30","       41715585","         2182.24"
"13-Feb-2015","     8688.35","     8770.70","     8632.05","     8759.00","       36434134","         1987.43"
"16-Feb-2015","     8797.95","     8880.95","     8760.40","     8792.55","       32198870","         1725.45"
"18-Feb-2015","     8783.90","     8899.50","     8735.50","     8884.85","       49844680","         4435.54"
"19-Feb-2015","     8929.90","     8967.40","     8809.60","     8871.65","       46390468","         2990.60"
"20-Feb-2015","     8910.50","     8927.35","     8856.55","     8874.65","       28477472","         1345.07"
"23-Feb-2015","     8907.35","     8916.50","     8793.25","     8804.15","       26486494","         1225.72"
"24-Feb-2015","     8830.85","     8831.15","     8727.70","     8777.70","       32087371","         1282.21"
"25-Feb-2015","     8811.20","     8838.00","     8768.75","     8781.30","       24354373","         1235.05"
"26-Feb-2015","     8791.95","     8796.35","     8630.80","     8640.70","       37220248","         2094.71"
"27-Feb-2015","     8696.45","     8866.85","     8690.05","     8841.80","       30395253","         4020.56"
"28-Feb-2015","     8857.60","     8978.50","     8706.60","     8935.35","       36652791","         1179.90"
"02-Mar-2015","     9000.80","     9028.20","     8820.35","     8919.55","       48706383","         1934.96"
"03-Mar-2015","     8890.80","     8890.80","     8792.00","     8838.80","       32593397","         1360.25"
"04-Mar-2015","     8911.05","     8952.90","     8755.45","     8777.85","       35951610","         1786.96"
"05-Mar-2015","     8807.95","     8839.65","     8755.35","     8825.65","       28639618","         1292.18"
"09-Mar-2015","     8789.10","     8804.55","     8706.40","     8727.05","       26827852","         1236.86"
"10-Mar-2015","     8756.90","     8841.60","     8725.55","     8756.40","       33012435","         1275.83"
"11-Mar-2015","     8763.10","     8805.50","     8710.20","     8761.50","       32014558","         1254.61"
"12-Mar-2015","     8798.00","     8870.05","     8790.10","     8851.65","       24481146","         1266.68"
"13-Mar-2015","     8906.65","     8906.65","     8700.00","     8721.75","       36880681","         1586.76"
"16-Mar-2015","     8732.45","     8743.35","     8676.00","     8697.85","       27930759","         1032.17"
"17-Mar-2015","     8765.70","     8857.95","     8736.55","     8807.40","       52060480","         1634.16"
"18-Mar-2015","     8810.25","     8812.30","     8718.90","     8748.75","       23632804","         1135.74"
"19-Mar-2015","     8813.70","     8846.60","     8700.30","     8719.55","       26126195","         1197.81"
"20-Mar-2015","     8698.15","     8698.30","     8572.70","     8585.95","       28094300","         1949.10"
"23-Mar-2015","     8604.30","     8656.40","     8560.10","     8597.80","       18626567","          951.48"
"24-Mar-2015","     8599.65","     8604.65","     8463.35","     8480.80","       24213521","         1213.06"
"25-Mar-2015","     8511.70","     8548.20","     8485.05","     8515.65","       25823774","         1368.79"
"26-Mar-2015","     8451.70","     8493.35","     8364.00","     8385.35","       37383375","         2081.80"
"27-Mar-2015","     8415.10","     8453.85","     8312.40","     8435.00","       26156080","         1207.16"
"30-Mar-2015","     8487.40","     8584.55","     8456.40","     8574.45","       32219096","         1060.72"
"31-Mar-2015","     8605.80","     8703.70","     8573.85","     8621.75","       41827698","         1450.47"
"01-Apr-2015","     8622.10","     8723.40","     8598.55","     8710.75","       33570407","         1315.42"
"06-Apr-2015","     8749.50","     8810.45","     8706.95","     8792.00","       27005213","         1297.45"
"07-Apr-2015","     8813.65","     8823.05","     8715.00","     8794.50","       27130942","         1068.35"
"08-Apr-2015","     8843.45","     8876.35","     8823.65","     8838.75","       30006763","         1373.13"
"09-Apr-2015","     8867.45","     8873.00","     8781.70","     8848.15","       36899799","         1328.78"
"10-Apr-2015","     8852.25","     8893.40","     8832.00","     8879.00","       22787825","          966.21"
"13-Apr-2015","     8885.60","     8888.15","     8801.10","     8817.85","       27719563","         1083.60"
"15-Apr-2015","     8803.95","     8803.95","     8660.30","     8682.00","       33589960","         1447.25"
