"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"14-Jan-2015","    10974.00","    11011.30","    10866.70","    10881.55","        4281514","          476.76"
"15-Jan-2015","    10966.90","    10986.05","    10903.85","    10936.30","        6425562","          714.20"
"16-Jan-2015","    10959.85","    11127.55","    10959.85","    11101.15","        5270562","          575.04"
"19-Jan-2015","    11145.65","    11258.30","    11144.10","    11249.30","        5297931","          585.73"
"20-Jan-2015","    11298.60","    11303.80","    11236.25","    11290.65","        5363094","          566.87"
"21-Jan-2015","    11284.80","    11329.45","    11223.40","    11320.85","        5936377","          640.63"
"22-Jan-2015","    11321.85","    11541.35","    11321.85","    11509.50","        9724910","          994.28"
"23-Jan-2015","    11584.45","    11645.70","    11501.75","    11581.10","        8145047","          889.56"
"27-Jan-2015","    11644.60","    11644.60","    11472.35","    11583.25","        7554069","          819.66"
"28-Jan-2015","    11586.60","    11661.65","    11472.20","    11577.75","        5890026","          657.85"
"29-Jan-2015","    11566.50","    11805.70","    11512.20","    11752.05","       10251486","         1378.55"
"30-Jan-2015","    11784.05","    11792.10","    11647.05","    11693.55","        5988943","          759.07"
"02-Feb-2015","    11686.15","    11779.80","    11609.00","    11627.65","        5288836","          670.06"
"03-Feb-2015","    11647.75","    11662.05","    11476.95","    11520.00","        6365522","          793.93"
"04-Feb-2015","    11580.10","    11710.40","    11551.20","    11625.70","        6913909","          739.10"
"05-Feb-2015","    11595.60","    11616.80","    11493.75","    11522.10","        9122620","         1044.50"
"06-Feb-2015","    11542.25","    11583.90","    11292.20","    11322.95","        8874689","          915.01"
"09-Feb-2015","    11276.90","    11338.65","    11233.15","    11289.40","        5683895","          614.93"
"10-Feb-2015","    11295.00","    11356.35","    11197.65","    11283.50","        7844930","          807.48"
"11-Feb-2015","    11326.25","    11443.55","    11323.00","    11391.70","        7081491","          705.80"
"12-Feb-2015","    11469.50","    11623.95","    11414.95","    11598.25","        8595733","          857.26"
"13-Feb-2015","    11714.20","    11861.10","    11714.20","    11789.90","       13877629","         1323.24"
"16-Feb-2015","    11745.75","    11818.05","    11663.75","    11680.25","        6645092","          701.51"
"18-Feb-2015","    11719.20","    11763.45","    11672.85","    11741.25","        4521086","          511.00"
"19-Feb-2015","    11769.70","    11801.75","    11666.55","    11734.50","        6861254","          738.78"
"20-Feb-2015","    11765.40","    11819.65","    11721.70","    11746.50","        5609569","          590.89"
"23-Feb-2015","    11749.10","    11797.65","    11609.85","    11640.80","        9262909","         1154.52"
"24-Feb-2015","    11645.30","    11703.95","    11618.10","    11663.85","        5580303","          615.10"
"25-Feb-2015","    11706.30","    11725.95","    11516.70","    11533.50","        6686225","          805.09"
"26-Feb-2015","    11534.40","    11545.35","    11362.10","    11412.30","       13508946","         1677.65"
"27-Feb-2015","    11444.90","    11581.80","    11443.60","    11554.80","        7917431","          914.45"
"28-Feb-2015","    11609.75","    11834.45","    11490.15","    11798.65","        3646650","          385.59"
"02-Mar-2015","    11826.25","    12060.00","    11787.55","    12024.05","        7612586","          827.14"
"03-Mar-2015","    12089.80","    12279.80","    12082.60","    12166.20","        8167553","          941.22"
"04-Mar-2015","    12219.70","    12562.90","    12131.85","    12326.80","       13221100","         1423.04"
"05-Mar-2015","    12373.30","    12654.25","    12372.85","    12632.50","       10311451","         1191.01"
"09-Mar-2015","    12584.55","    12746.75","    12524.80","    12676.90","        8254087","          998.02"
"10-Mar-2015","    12746.55","    12824.55","    12587.65","    12631.95","        8953250","         1069.19"
"11-Mar-2015","    12689.50","    12695.50","    12469.25","    12515.75","        7030254","          850.89"
"12-Mar-2015","    12542.30","    12678.30","    12504.10","    12663.70","        7680407","          922.88"
"13-Mar-2015","    12749.95","    12749.95","    12467.00","    12487.05","        7763108","          889.56"
"16-Mar-2015","    12523.15","    12551.25","    12426.60","    12480.70","        8588259","          935.60"
"17-Mar-2015","    12545.90","    12746.85","    12538.65","    12716.80","        8544425","         1047.02"
"18-Mar-2015","    12771.25","    12783.00","    12671.05","    12732.40","        6080674","          728.31"
"19-Mar-2015","    12841.65","    13019.15","    12724.85","    12799.80","        9856426","         1238.72"
"20-Mar-2015","    12845.95","    13007.90","    12555.30","    12622.25","       11563115","         1507.24"
"23-Mar-2015","    12666.65","    12759.90","    12514.35","    12622.95","        6570945","          769.16"
